Title,Author,Publication Year,Abstract Note
Empowering Mimicry: Female Leader Role Models Empower Women in Leadership Tasks Through Body Posture Mimicry,"Ioana M Latu, Marianne Schmid Mast, Dario Bombari, Joris Lammers, Crystal L. Hoyt",2019,"In two studies we investigated the behavioral process through which visible female leader role models empower women in leadership tasks. We proposed that women tend to mimic the powerful (open) body postures of successful female role models, thus leading to more empowered behavior and better performance on a challenging leadership task, a process we called empowering mimicry. In Study 1, we experimentally manipulated the body posture of the male and female role models and showed that 86 Swiss college women mimicked the body posture of the female (ingroup) but not the male (outgroup) role model, thus leading to more empowered behavior and better performance on a public speaking task. In Study 2, we investigated the boundary conditions of this process and showed that empowering mimicry does not extend to exposures to non-famous female models among 50 Swiss college women. These findings suggest that nonverbal mimicry is one important mechanism through which female leader role models inspire women performing a challenging leadership task. From a practice perspective, our research underscores the importance of female leaders' visibility because visibility can drive other women's advancement in leadership by affording women the opportunity to mimic and be empowered by successful female role models."
Estimating the reproducibility of psychological science,"Alexander A. Aarts, Joanna E. Anderson, Christopher J. Anderson, Peter Raymond Attridge, A. Attwood, Jordan R. Axt, Molly Babel, Š. Bahník, E. Baranski, M. Barnett-Cowan, E. Bartmess, J. Beer, Raoul Bell, Heather Bentley, Leah Beyan, Grace Binion, D. Borsboom, Annick Bosch, Frank Bosco, Sara D. Bowman, M. Brandt, E. L. Braswell, Hilmar Brohmer, B. T. Brown, Kristina Brown, Jovita Brüning, Ann Calhoun-Sauls, Shannon P. Callahan, E. Chagnon, Jesse J. Chandler, Christopher R. Chartier, F. Cheung, Cody Daniel Christopherson, L. Cillessen, R. Clay, Hayley M. D. Cleary, M. Cloud, Michael Conn, J. Cohoon, S. Columbus, A. Cordes, G. Costantini, Leslie D. Cramblet Alvarez, E. Cremata, J. Crusius, J. DeCoster, M. DeGaetano, Nicolás Delia Penna, Bobby Den Bezemer, M. Deserno, Olivia Devitt, L. Dewitte, David G. Dobolyi, Geneva T. Dodson, M. Donnellan, Ryan Donohue, Rebecca A. Dore, A. Dorrough, Anna Dreber, M. Dugas, Elizabeth W. Dunn, Kayleigh E. Easey, Sylvia Eboigbe, C. Eggleston, Jo Embley, S. Epskamp, T. Errington, Vivien Estel, Frank J. Farach, J. Feather, A. Fedor, B. Fernández-Castilla, S. Fiedler, James G. Field, S. Fitneva, T. Flagan, A. Forest, Eskil Forsell, J. D. Foster, Michael C. Frank, Rebecca S. Frazier, Heather M. Fuchs, Philip A. Gable, Jeff Galak, E. Galliani, Anup Gampa, Sara Garcia, Douglas Gazarian, E. Gilbert, R. Giner-Sorolla, A. Glöckner, Lars Goellner, J. X. Goh, R. Goldberg, P. Goodbourn, S. Gordon-McKeon, Bryan H. Gorges, Jessie Gorges, J. Goss, J. Graham, J. Grange, J. Gray, C.H.J. Hartgerink, Joshua K. Hartshorne, F. Hasselman, Timothy B Hayes, Emma Heikensten, Felix Henninger, J. Hodsoll, Taylor Holubar, G. Hoogendoorn, D. Humphries, C. O. Hung, N. Immelman, Vanessa C. Irsik, G. Jahn, F. Jäkel, Marc Jekel, M. Johannesson, L. Johnson, David J. Johnson, Kate M. Johnson, William Johnston, K. Jonas, Jennifer A. Joy-Gaba, H. Kappes, Kim Kelso, Mallory C. Kidwell, Seung K. Kim, M. Kirkhart, Bennett Kleinberg, G. Knežević, F. Kolorz, J. Kossakowski, R. Krause, J.M.T. Krijnen, T. Kuhlmann, Y. Kunkels, Megan M. Kyc, Calvin K. Lai, Aamir Laique, D. Lakens, Kristin A. Lane, Bethany Lassetter, L. Lazarević, E. Bel, Key Jung Lee, Minha Lee, K. Lemm, C. Levitan, Melissa Lewis, Lin Lin, Stephanie C. Lin, Matthias Lippold, Darren Loureiro, Ilse Luteijn, S. Mackinnon, Heather N. Mainard, Denise C. Marigold, D. P. Martin, Tylar Martinez, E. Masicampo, Joshua J. Matacotta, Maya B. Mathur, Michael May, Nicole C Mechin, P. Mehta, Johannes M. Meixner, Alissa Melinger, Jeremy K. Miller, Mallorie Miller, K. Moore, Marcus Möschl, Matt Motyl, S. Muller, M. Munafo, K. Neijenhuijs, Taylor Nervi, Gandalf Nicolas, G. Nilsonne, Brian A. Nosek, Michèle B. Nuijten, Catherine Olsson, C. Osborne, Lutz Ostkamp, M. Pavel, I. Penton-Voak, O. Perna, C. Pernet, M. Perugini, R. Pipitone, M. Pitts, F. Plessow, J. Prenoveau, R. Rahal, Kate A. Ratliff, David A. Reinhard, Frank Renkewitz, Ashley A. Ricker, A. Rigney, Andrew M Rivers, Mark A. Roebke, Abraham M. Rutchick, Robert S. Ryan, O. Şahin, Anondah Saide, Gillian M. Sandstrom, David Santos, R. Saxe, R. Schlegelmilch, Kathleen Schmidt, Sabine Scholz, L. Seibel, Dylan Selterman, S. Shaki, W. B. Simpson, H. Sinclair, Jeanine L. M. Skorinko, A. Slowik, J. Snyder, C. Soderberg, Carina M. Sonnleitner, N. Spencer, Jeffrey R. Spies, S. Steegen, S. Stieger, Nina Strohminger, G. Sullivan, T. Talhelm, M. Tapia, A. T. Dorsthorst, M. Thomae, Sarah L. Thomas, Pia Tio, Frits Traets, Steve Tsang, F. Tuerlinckx, Paul Turchan, Milan Valášek, A. V. Veer, R. V. Aert, M. V. Assen, R. V. Bork, Mathijs van de Ven, D. V. D. Bergh, M. Hulst, R. V. Dooren, J. Doorn, Daan R. van Renswoude, H. Rijn, W. Vanpaemel, Alejandro Echeverría, Melissa Vazquez, Natalia Vélez, Marieke Vermue, M. Verschoor, M. Vianello, M. Voracek, Gina Vuu, E. Wagenmakers, Joanneke Weerdmeester, A. Welsh, Erin C. Westgate, Joeri Wissink, M. Wood, A. Woods, Emily M. Wright, Sining Wu, M. Zeelenberg, Kellylynn Zuni",2015,"Empirically analyzing empirical evidence One of the central goals in any scientific endeavor is to understand causality. Experiments that seek to demonstrate a cause/effect relation most often manipulate the postulated causal factor. Aarts et al. describe the replication of 100 experiments reported in papers published in 2008 in three high-ranking psychology journals. Assessing whether the replication and the original experiment yielded the same result according to several criteria, they find that about one-third to one-half of the original findings were also observed in the replication study. Science, this issue 10.1126/science.aac4716 A large-scale assessment suggests that experimental reproducibility in psychology leaves a lot to be desired. INTRODUCTION Reproducibility is a defining feature of science, but the extent to which it characterizes current research is unknown. Scientific claims should not gain credence because of the status or authority of their originator but by the replicability of their supporting evidence. Even research of exemplary quality may have irreproducible empirical findings because of random or systematic error. RATIONALE There is concern about the rate and predictors of reproducibility, but limited evidence. Potentially problematic practices include selective reporting, selective analysis, and insufficient specification of the conditions necessary or sufficient to obtain the results. Direct replication is the attempt to recreate the conditions believed sufficient for obtaining a previously observed finding and is the means of establishing reproducibility of a finding with new data. We conducted a large-scale, collaborative effort to obtain an initial estimate of the reproducibility of psychological science. RESULTS We conducted replications of 100 experimental and correlational studies published in three psychology journals using high-powered designs and original materials when available. There is no single standard for evaluating replication success. Here, we evaluated reproducibility using significance and P values, effect sizes, subjective assessments of replication teams, and meta-analysis of effect sizes. The mean effect size (r) of the replication effects (Mr = 0.197, SD = 0.257) was half the magnitude of the mean effect size of the original effects (Mr = 0.403, SD = 0.188), representing a substantial decline. Ninety-seven percent of original studies had significant results (P < .05). Thirty-six percent of replications had significant results; 47% of original effect sizes were in the 95% confidence interval of the replication effect size; 39% of effects were subjectively rated to have replicated the original result; and if no bias in original results is assumed, combining original and replication results left 68% with statistically significant effects. Correlational tests suggest that replication success was better predicted by the strength of original evidence than by characteristics of the original and replication teams. CONCLUSION No single indicator sufficiently describes replication success, and the five indicators examined here are not the only ways to evaluate reproducibility. Nonetheless, collectively these results offer a clear conclusion: A large portion of replications produced weaker evidence for the original findings despite using materials provided by the original authors, review in advance for methodological fidelity, and high statistical power to detect the original effect sizes. Moreover, correlational evidence is consistent with the conclusion that variation in the strength of initial evidence (such as original P value) was more predictive of replication success than variation in the characteristics of the teams conducting the research (such as experience and expertise). The latter factors certainly can influence replication success, but they did not appear to do so here. Reproducibility is not well understood because the incentives for individual scientists prioritize novelty over replication. Innovation is the engine of discovery and is vital for a productive, effective scientific enterprise. However, innovative ideas become old news fast. Journal reviewers and editors may dismiss a new test of a published idea as unoriginal. The claim that “we already know this” belies the uncertainty of scientific evidence. Innovation points out paths that are possible; replication points out paths that are likely; progress relies on both. Replication can increase certainty when findings are reproduced and promote innovation when they are not. This project provides accumulating evidence for many findings in psychological research and suggests that there is still more work to do to verify whether we know what we think we know. Original study effect size versus replication effect size (correlation coefficients). Diagonal line represents replication effect size equal to original effect size. Dotted line represents replication effect size of 0. Points below the dotted line were effects in the opposite direction of the original. Density plots are separated by significant (blue) and nonsignificant (red) effects. Reproducibility is a defining feature of science, but the extent to which it characterizes current research is unknown. We conducted replications of 100 experimental and correlational studies published in three psychology journals using high-powered designs and original materials when available. Replication effects were half the magnitude of original effects, representing a substantial decline. Ninety-seven percent of original studies had statistically significant results. Thirty-six percent of replications had statistically significant results; 47% of original effect sizes were in the 95% confidence interval of the replication effect size; 39% of effects were subjectively rated to have replicated the original result; and if no bias in original results is assumed, combining original and replication results left 68% with statistically significant effects. Correlational tests suggest that replication success was better predicted by the strength of original evidence than by characteristics of the original and replication teams."
Expand your body when you look at yourself: The role of the posture in a mirror exposure task,"Marta Miragall, E. Etchemendy, A. Cebolla, Victor H. Rodriguez, C. Medrano, R. Baños",2018,"Mirror exposure (ME) is one of the main components of the treatment of patients with eating disorders symptomatology and it has shown its effectiveness in improving several outcomes (e.g., body dissatisfaction). However, the study as to what body posture should be adopted to maximize its effectiveness has been neglected. From embodied cognition and emotion theories, the adoption of an expansive (vs. contractive) body posture has been associated with positive changes in cognitive and emotional responses. The objective of this study was to analyze the effect of adopting an expansive (vs. contractive) posture before an ME task on body-related emotions and cognitions, as well as to analyze the possible moderator and mediator variables of these relationships. The sample was composed of 68 women (age: M = 21.74, SD = 3.12) with high scores on body dissatisfaction. Participants were randomly assigned to the expansive or contractive condition, where the openness of the arms/legs and the back position were manipulated. Posture was monitored by an electronic device and participants filled out several self-reported measures. ANCOVAs, moderation, mediation, and moderated mediated analyses were performed. Results showed that women in the expansive condition showed higher positive emotions after the ME. Moreover, exploratory analyses showed that adopting an expansive posture improved positive emotions, leading to improvements in negative emotions, body image satisfaction, and appraisal of the person’s own body. Psychological interventions should explore the value of holding an expansive posture before the ME in women with body dissatisfaction."
Expansive and Contractive Postures and Movement: A Systematic Review and Meta-Analysis of the Effect of Motor Displays on Affective and Behavioral Responses,"E. Elkjær, M. B. Mikkelsen, J. Michalak, D. Mennin, M. O'Toole",2020,"This review and meta-analysis explores the experimental effects of expansive and contractive motor displays on affective, hormonal, and behavioral responses. Experimental studies were located through systematic literature searches. Studies had to manipulate motor displays to either expansive or contractive displays and investigate the effect of the displays on affect, hormones, or overt behavior. Meta-analyses were conducted to determine the pooled, standardized mean differences between the effects of motor displays on affective, hormonal, and behavioral responses. From 5,819 unique records, 73 relevant studies were identified. Robust differences between expansive and contractive displays emerged for affective responses and overt behavioral responses across contexts, type of manipulation, and methods of measurement. The results suggest that the effects are driven by the absence of contractive motor displays (contractive vs. neutral displays: Hedges’s g = 0.45) rather than the presence of expansive displays (expansive vs. neutral displays: g = 0.06). The findings stand as a corrective to previous research, as they indicate that it is the absence of contractive displays rather than the presence of expansive displays that alters affective and behavioral responding. Future research should include neutral control groups, use different methods to assess hormonal change, and investigate these effects in the context of ideographic goals."
EXPLORING PSYCHO-SOMATIC IMPLICATIONS OF YOGA PRACTICES – A STRATEGIC INQUIRY,"Sudesh Bhardwaj, N. K. Rathee",2018,"Benefits of yogic practices are well documented, and its popularity is increasing day by day across the world. Yoga has gained new avenues and has started to explore the new facts and hidden benefits by objectively testing the potential benefits of yogic practices for human well-being and holistic health. The present research adopts a philosophical descriptive approach to analyze the popular belief regarding the psychosomatic qualities developed through yogic practices. An opinionnaire consisting to two broad themes was designed to obtain the responses from the surveyed yoga practitioners (N=400: Male=200 and Female=200), aged 18 to 25 years. Data was statistically analyzed to find out the somatic and psychological qualities that the subjects perceived were developed through yoga practices. The results indicated that the female participants believed that yoga practices will much contribute to their Stability and Balance, while the male subjects believed it will help them in developing their Core Strength. With regard to the psychological qualities, both male and female subjects listed Self-Confidence as their first preference. Overall, the subjects believed that the yogic practices can be quite useful to promote somatic qualities of stability and balance, and core strength. Regarding the psychological qualities, self-confidence and mental rejuvenation were found to be most favorable reasons to practice yoga. Implications of the study have been discussed and the recommendations for future research have been made.      Article visualizations:"
Feeling Small or Standing Tall? Height Manipulation Affects Speech Anxiety and Arousal in Virtual Reality.,(missing authors),2023,"Social performance situations often constitute one of the most challenging communication tasks across different cultures. In today's work environments, giving presentations and performing in front of others are often essential and expected. Therefore, public speaking anxiety can have a serious impact on an individual's job performance, career choice, and prospects. Contemporary consumer virtual reality hardware has made it possible to practice public speaking anywhere in a safe and private virtual reality environment (VRE). As VREs offer the means to practice real-life scenarios, they also make it possible to go beyond what is ""real""; to replace simulations with more dynamic and innovative training environments. Furthermore, with occupational life undergoing a significant shift toward technology-mediated working conditions, innovative tools and methods could also be used during virtually implemented real-time social interactions. This research aimed to study the ways in which an illusion of height, that is, perceived tallness versus perceived shortness, without any visible virtual body or representation, influences state speech anxiety and emotional responses of participants during simulation of a stressful speech task. The experiment followed a strictly controlled between-subject procedure, and both self-reported and psychophysiological data were collected. Results indicate that participants perceiving the illusion of tallness felt less anxious and had lower self-reported arousal compared with participants with the illusion of shortness. This implies that even simple, visual, first-person perspective manipulation of the VRE could help individuals to reduce their stress responses during a task-oriented situation."
"Gender, Nonverbal Communication, and Televised Debates: A Case Study Analysis of Clinton and Trump’s Nonverbal Language During the 2016 Town Hall Debate",Ben Wasike,2019,"This case study analyzed nonverbal cues during the 2016 town hall debate between Hillary Clinton and Donald Trump. Variables were facial expressions, posture, eye contact, and spatial distance. Clinton was friendlier, took more expansive postures, and maintained more eye contact. The candidates largely kept within social distance, except for an instance that created postdebate controversy. Whereas some of Clinton’s nonverbal behavior conformed to established gendered cues, her nonverbal behavior largely transcended gender norms. Also addressed are the media’s shortcomings in contextualizing debate visuals."
How Relevant are Incidental Power Poses for HCI?,"Yvonne Jansen, Kasper Hornbæk",2018,"The concept of power pose originates from a Psychology study from 2010 which suggested that holding an expansive pose can change hormone levels and increase risk-taking behavior. Follow-up experiments suggested that expansive poses incidentally imposed by the design of an environment lead to more dishonest behaviors. While multiple replication attempts of the 2010 study failed, the follow-up experiments on incidental postures have so far not been replicated. As UI design in HCI can incidentally lead to expansive body postures, we attempted two conceptual replications: we first asked 44 participants to tap areas on a wall-sized display and measured their self-reported sense of power; we then asked 80 participants to play a game on a large touch-screen and measured risk-taking. Based on Bayesian analyses we find that incidental power poses had little to no effect on our measures but could cause physical discomfort. We conclude by discussing our findings in the context of theory-driven research in HCI."
Improving interoceptive ability through the practice of power posing: A pilot study,"Felicitas Weineck, M. Messner, G. Hauke, O. Pollatos",2019,"Interoception refers to the detection and perception of signals from the inner body. Deficits in this domain have been linked to psychopathologies, prompting the search for strategies to improve this ability. Preliminary studies have shown that interoception could be enhanced through the manipulation of subjective feelings of power. We tested the effects of adopting powerful postures on different facets of interoception. Firstly, we measured the impact of a single power posing session on interoceptive ability in 41 healthy females. Then, the same participants were randomly assigned to two conditions (daily power posing practice vs. no practice). After one week the conditions alternated. Interoceptive accuracy, measured by the heartbeat tracking task, interoceptive sensibility, measured by the Body Perception Questionnaire (BPQ) and confidence ratings, as well as subjective feelings of power were assessed at baseline, after a single power posing session and after one week of training. A single power posing session significantly increased individuals' interoceptive accuracy. Also, power posing reduced individuals' scores on the BPQ after one week of daily practice and increased subjective feelings of power after one session and one week of daily practice. These findings suggest that adopting powerful postures has the potential to increase interoceptive accuracy, as well as subjective feelings of power, and to reduce interoceptive sensibility, measured by questionnaire."
Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”,"Maarten Derksen, J. Morawski",2022,"Although psychology’s recent crisis has been attributed to various scientific practices, it has come to be called a “replication crisis,” prompting extensive appraisals of this putatively crucial scientific practice. These have yielded disagreements over what kind of replication is to be preferred and what phenomena are being explored, yet the proposals are all grounded in a conventional philosophy of science. This article proposes another avenue that invites moving beyond a discovery metaphor of science to rethink research as enabling realities and to consider how empirical findings enact or perform a reality. An enactment perspective appreciates multiple, dynamic realities and science as producing different entities, enactments that ever encounter differences, uncertainties, and precariousness. The axioms of an enactment perspective are described and employed to more fully understand the two kinds of replication that predominate in the crisis disputes. Although the enactment perspective described here is a relatively recent development in philosophy of science and science studies, some of its core axioms are not new to psychology, and the article concludes by revisiting psychologists’ previous calls to apprehend the dynamism of psychological reality to appreciate how scientific practices actively and unavoidably participate in performativity of reality."
Meeting your inner super(wo)man: are power poses effective when taught?,"Victor N. Keller, D. J. Johnson, Jenna A. Harder",2017,"Researchers have argued that power poses are an effective way for individuals to empower themselves to achieve personal goals. However, in laboratory studies, individuals are often unaware of the function of the poses; in real-world settings, participants must know the function of the pose in order to deliberately use it. We tested whether power poses are effective when an individual knows their consequences by directly manipulating awareness of the function of power poses. We found no evidence for the overall effect of power poses or an interaction with awareness on both traditional measures of power and a more ecologically valid assessment. Our results suggest the benefits of using power poses outside laboratory settings are limited."
Neurophysiology of Emotions,Maurizio Oggiano,2022,"Emotions are automatic and primary patterns of purposeful cognitive-behavioral organizations. They have three main functions: coordination, signaling, and information. First, emotions coordinate organs and tissues, thus predisposing the body to peculiar responses. Scholars have not reached a consensus on the plausibility of emotion-specific response patterns yet. Despite the limitations, data support the hypothesis of specific response patterns for distinct subtypes of emotions. Second, emotional episodes signal the current state of the individual. Humans display their state with verbal behaviors, nonverbal actions (e.g., facial movements), and neurovegetative signals. Third, emotions inform the brain for interpretative and evaluative purposes. Emotional experiences include mental representations of arousal, relations, and situations. Every emotional episode begins with exposure to stimuli with distinctive features (i.e., elicitor). These inputs can arise from learning, expressions, empathy, and be inherited, or rely on limited aspects of the environment (i.e., sign stimuli). The existence of the latter ones in humans is unclear; however, emotions influence several processes, such as perception, attention, learning, memory, decision-making, attitudes, and mental schemes. Overall, the literature suggests the nonlinearity of the emotional process. Each section outlines the neurophysiological basis of elements of emotion."
Nonverbal behavior and the vertical dimension of social relations: a meta-analysis.,"Judith A. Hall, Erik J. Coats, Lavonia Smith LeBeau",2005,"The vertical dimension of interpersonal relations (relating to dominance, power, and status) was examined in association with nonverbal behaviors that included facial behavior, gaze, interpersonal distance, body movement, touch, vocal behaviors, posed encoding skill, and others. Results were separately summarized for people's beliefs (perceptions) about the relation of verticality to nonverbal behavior and for actual relations between verticality and nonverbal behavior. Beliefs/perceptions were stronger and much more prevalent than were actual verticality effects. Perceived and actual relations were positively correlated across behaviors. Heterogeneity was great, suggesting that verticality is not a psychologically uniform construct in regard to nonverbal behavior. Finally, comparison of the verticality effects to those that have been documented for gender in relation to nonverbal behavior revealed only a limited degree of parallelism."
P-Curving a More Comprehensive Body of Research on Postural Feedback Reveals Clear Evidential Value for Power-Posing Effects: Reply to Simmons and Simonsohn (2017),"Amy J. C. Cuddy, S. J. Schultz, N. Fosse",2017,"We conducted a series of p-curve analyses, following Simonsohn et al.’s rules of p-curving and using a systematically selected, comprehensive and updated set of published studies of “power posing” (i.e., postural feedback), comprising 55 studies (vs. 34 studies), which yield starkly different results and conclusions from those of Simmons and Simonsohn (S&S): 
(1) evidential value for postural feedback across aggregated effects; 
(2) evidential value for a clearly specified single effect – feelings of power – which was omitted from the p-curve analyses presented by SS and 
(3) remarkably strong evidential value for a well-defined, theoretically-important category of effects from the same set of studies identified in our systematic review - all measures of “feelings,” including emotions, affect, mood, and evaluations, attitudes, and feelings about the self. 
This third p-curving analysis of the set of emotions-related effects, which include methods and variables that are more resilient to demand characteristics, either because responses were implicit or otherwise difficult for participants to control, responses were embedded in a broader survey instrument, or, as demonstrated in recent research on demand effects in survey research, participants likely varied in their orientation such that some would have wanted to confirm the hypothesis, some to disconfirm it, and others would have been indifferent, also demonstrate that power posing effects are not merely demand effects. How did two groups of researchers reach such divergent findings and conclusions about the same area of research? 
Our analyses reveal two of the practices that contributed: 
(1) sample selection decisions that may lead to an incomplete or non-representative set of studies and/or effects for inclusion in the analysis; and 
(2) undifferentiated aggregation of disparate effects (i.e., the apples-and-oranges problem)."
"Power, approach, and inhibition.","D. Keltner, D. Gruenfeld, C. Anderson",2003,"This article examines how power influences behavior. Elevated power is associated with increased rewards and freedom and thereby activates approach-related tendencies. Reduced power is associated with increased threat, punishment, and social constraint and thereby activates inhibition-related tendencies. The authors derive predictions from recent theorizing about approach and inhibition and review relevant evidence. Specifically, power is associated with (a) positive affect, (b) attention to rewards, (c) automatic information processing, and (d) disinhibited behavior. In contrast, reduced power is associated with (a) negative affect; (b) attention to threat, punishment, others' interests, and those features of the self that are relevant to others' goals; (c) controlled information processing; and (d) inhibited social behavior. The potential moderators and consequences of these power-related behavioral patterns are discussed."
Powerful and confident children through expansive body postures? A preregistered study of fourth graders,"Robert Körner, Hannes Köhler, Astrid Schütz",2020,"Do expansive body postures increase self-esteem in children? Power posing is a popular but also controversial topic. Still, there has been no research on the possible effects in children. To investigate the influence of power posing in children, 108 German fourth graders were randomly assigned to a high versus a low power posing group. Self-esteem was self-reported; feelings were assessed indirectly. There was an effect of power posing on self-reported global and school self-esteem. Furthermore, children who had performed high power poses in comparison with those who had performed low power poses mentioned more positive feelings, higher power feelings, and a more positive student�teacher relationship. Results are interpreted with regard to the context and the cultural dependency of the power posing effect. Implications for school practice are addressed."
Powerful postures do not lead to risky behaviors,"Outong Chen, Zhaoning Yang, Xuyun Tan, Zibei Gu, Jun Chen",2019,"Recent research has found that a specific manipulation of body postures can influence psychological states associated with power, including an individual’s feeling of power and risk-taking tendency, but the results vary. The purpose of this study is to replicate previous studies. A pilot experiment examined the validity of 10 postures extracted from multiple former studies. Only 4 postures were consistent with former studies. Experiment 1 replicates the study conducted by Carney, Cuddy, and Yap (2010). The results revealed that posture manipulations did not affect the participants’ risk-taking tendency. Experiment 2 is a preregistered experiment to replicate the study of Carney et al. (2010). Different from Experiment 1, data were analyzed with a Bayesian approach. The results of the former study again failed to be replicated, which indicates that the posture manipulations could not yield any effect on both power feelings and individuals’ risk-taking tendency. Thus, we concluded that (a) holding a specific series of body posture perceived as high or low power does not affect individuals’ feeling of power, and (b) holding a specific series of body posture perceived as high or low power does not affect individuals’ risk-taking tendency."
Powerful Postures Versus Powerful Roles,"Li Huang, A. Galinsky, D. Gruenfeld, Lucia E Guillory",2011,"Three experiments explored whether hierarchical role and body posture have independent or interactive effects on the main outcomes associated with power: action in behavior and abstraction in thought. Although past research has found that being in a powerful role and adopting an expansive body posture can each enhance a sense of power, two experiments showed that when individuals were placed in high- or low-power roles while adopting an expansive or constricted posture, only posture affected the implicit activation of power, the taking of action, and abstraction. However, even though role had a smaller effect on the downstream consequences of power, it had a stronger effect than posture on self-reported sense of power. A final experiment found that posture also had a larger effect on action than recalling an experience of high or low power. We discuss body postures as one of the most proximate correlates of the manifestations of power."
Power moves: complementarity in dominant and submissive nonverbal behavior.,"L. Tiedens, Alison R. Fragale",2003,"Two studies examine complementarity (vs. mimicry) of dominant and submissive nonverbal behaviors. In the first study, participants interacted with a confederate who displayed either dominance (through postural expansion) or submission (through postural constriction). On average, participants exposed to a dominant confederate decreased their postural stance, whereas participants exposed to a submissive confederate increased their stance. Further, participants with complementing responses (dominance in response to submission and submission in response to dominance) liked their partner more and were more comfortable than those who mimicked. In the second study, complementarity and mimicry were manipulated, and complementarity resulted in more liking and comfort than mimicry. The findings speak to the likelihood of hierarchical differentiation."
Power poses - where do we stand?,"K. Jonas, Joseph Cesario, M. Alger, April H. Bailey, Dario Bombari, D. Carney, J. Dovidio, Sean Duffy, Jenna A. Harder, Dian van Huistee, B. Jackson, D. J. Johnson, Victor N. Keller, Lukas Klaschinski, Onawa P. LaBelle, M. LaFrance, Ioana M Latu, Margot Morssinkhoff, Kelly A. Nault, Vaani Pardal, Caroline Pulfrey, N. Rohleder, Richard Ronay, L. Richman, M. S. Mast, Konrad Schnabel, Michaela Schröder-Abé, J. Tybur",2017,"As editors, reviewers, and authors, we are very pleased with the output of this Special Issue. We received a robust number of interesting and diverse submissions, and we were very lucky to convince one of the authors of the original effect, Dana Carney, to review all submissions and to give feedback from an insider�s perspective. This is unique and linked to the preregistration format of this Special Issue, as this most likely would not have happened if all authors had independently approached the original researchers. Finally, the format of preregistration allowed us to run a meta-analysis across the individual studies without any file drawer bias (or the need to correct for it). In sum, we believe that peer-reviewed preregistration projects and associated meta-analyses form the gold standard for future similar endeavors. This format allows for the optimal use of resources and collaboration among original authors, new authors, and meta-analytic perspectives. Still, there is room for improvement and learning. Although we were able to coordinate the measure of felt power to be included across the studies in the special issue, further coordination of more dependent variables or similar designs could be beneficial. Such procedures can provide a more robust basis to judge where we stand with a research field.

While some colleagues have hoped that this Special Issue would provide the definitive answer on the replicability and evidence for or against power poses, we believe that conclusions need to be appropriately tempered. Looking across the studies, it is clear that an effect on felt power was observed. What this means, in terms of whether this is more than just a demand characteristic, is still unclear and can use further investigation. Considering the preregistered predictions for the behavioral and hormonal measures, however, presents a clearer picture:

Bailey, LaFrance, and Dovidio (Citation2017) sought to investigate an interaction of power posing, target gender, and participant gender. They did not replicate the effect of power poses on risky behavior.

Bombari, Schmid Mast, and Pulfrey (Citation2017) planned to test whether imagined or performed power poses had similar effects. They did not replicate the effect of power poses on risky behavior.

Klaschinski, Schnabel, and Schr�der-Ab� (Citation2017) wanted to replicate the effects of power posing on dominance and social sensitivity in an interview context, but they did not replicate the effects.

Jackson, Nault, Smart Richman, LaBelle, and Rohleder (Citation2017) sought to test the effect of power posing on self-concept. Although a preliminary study obtained an interesting effect, they did not replicate this in the higher-powered, preregistered study.

Keller, Johnson, and Harder (Citation2017) wanted to test whether awareness of the function of power poses moderates their effectiveness. They did not replicate the basic power pose effect.

Latu, Duffy, Pardal, and Alger (Citation2017) tested an interesting dependent variable in the context of power poses, persuasive messages. They did not observe any effect of power poses on persuasive message perception.

Ronay, Tybur, van Huijstee, and Morssinkhoff (Citation2017) wanted to investigate the mediating role of testosterone and overconfidence on the link between power posing and risk taking, but they did not replicate the effect.

As can be seen, there was virtually zero effect of power poses on any of the behavioral or hormonal measures. However, a strong contribution of preregistration is evident in the exploratory analyses conducted across the different studies. Most of the studies did reveal some effects of power poses on non-preregistered, exploratory analyses. The preregistration format, rather than inhibiting scientific discovery or exploration, actually then points researchers to the next direction for their research, while at the same time making it clear to the reader that such obtained effects were exploratory and not confirmatory.

Prior to our special issue, there were other attempts to replicate the power pose effect (Garrison, Tang, & Schmeichel, Citation2016; Ranehill et al., Citation2015). Ranehill et al. could not replicate the effect on hormonal level, but found the manipulation to influence felt power. Garrison et al. also attempted to replicate the original effect and extend it with a dominance manipulation via eye gaze. They also could not find the effect on their dependent variable, an ultimatum game, nor on felt power. Based on the papers in the special issue, and prior replication attempts, one could conclude that the power pose effect on behavioral outcomes does not replicate.
Next to these individual papers and replication attempts, it is relevant to take a more abstract view. We were able to conduct a Bayesian meta-analysis on the papers of the Special Issue that contained the felt power variable (Gronau et al., Citation2017). In merely eye-balling the results of the studies in this Special Issue, we would have guessed that there was no overall effect. But we were surprised to find the (small) overall effect for felt power. Critical colleagues will remark that this finding says little about the actual power pose effect, because they see felt power as a manipulation check. Even if one would side with this argument, then there is a successful manipulation, which demands further analysis of its effects on a number of suggested and novel dependent variables and their boundary conditions. Jackson et al. (Citation2017) identified cognitive flexibility, Bombari et al. (Citation2017) participant gender, and Klaschinski et al. (Citation2017) extraversion: This is where we believe future research should start off, and can help to contribute to unpacking the power pose effect. CRSP as a journal is happy to provide a platform for this."
